,year,type,stage
1140,1970,p0,3
1141,1970,p0,4
1142,1970,p0,5
1143,1970,p0,6
1144,1970,p0,7
1145,1970,p0,8
1146,1970,p0,9
1147,1970,p0,10
1148,1970,p0,11
1149,1970,p0,12
1150,1970,p0,13
1151,1970,p0,14
1152,1970,p0,15
1153,1970,p0,16
1154,1970,p0,17
1155,1970,p0,18
1156,1970,p0,19
1157,1970,p0,20
1158,1970,p0,21
1159,1970,p0,22
1160,1970,p0,23
1161,1970,p0,24
1162,1970,p0,25
1163,1970,p0,26
1164,1970,p0,27
1165,1970,p0,28
1166,1970,p0,29
1167,1971,p1,1
1168,1971,p2,2
1169,1971,p1,3
1170,1971,p1,4
1171,1971,p2,5
1172,1971,p2,6
1173,1971,p1,7
1174,1971,p2,8
1175,1971,p1,9
1176,1971,p1,10
1177,1971,p1,11
1178,1971,p4,12
1179,1971,p4,13
1180,1971,p4,14
1181,1971,p4,15
1182,1971,p1,16
1183,1971,p1,17
1184,1971,p4,18
1185,1971,p4,19
1186,1971,p4,20
1187,1971,p4,21
1188,1971,p1,22
1189,1971,p1,23
1190,1971,p1,24
1191,1971,p1,25
1192,1972,p0,1
1193,1972,p0,2
1194,1972,p0,3
1195,1972,p0,4
1196,1972,p0,5
1197,1972,p0,6
1198,1972,p0,7
1199,1972,p0,8
1200,1972,p0,9
1201,1972,p0,10
1202,1972,p0,11
1203,1972,p0,12
1204,1972,p0,13
1205,1972,p0,14
1206,1972,p0,15
1207,1972,p0,16
1208,1972,p0,17
1209,1972,p0,18
1210,1972,p0,19
1211,1972,p0,20
1212,1972,p0,21
1213,1972,p0,22
1214,1972,p0,23
1215,1972,p0,24
1216,1972,p0,25
1217,1973,p0,1
1218,1973,p0,2
1219,1973,p0,3
1220,1973,p0,4
1221,1973,p0,5
1222,1973,p0,6
1223,1973,p0,7
1224,1973,p0,8
1225,1973,p0,9
1226,1973,p0,10
1227,1973,p0,11
1228,1973,p0,12
1229,1973,p0,13
1230,1973,p0,14
1231,1973,p0,15
1232,1973,p0,16
1233,1973,p0,17
1234,1973,p0,18
1235,1973,p0,19
1236,1973,p0,20
1237,1973,p0,21
1238,1973,p0,22
1239,1973,p0,23
1240,1973,p0,24
1241,1973,p0,25
1242,1973,p0,26
1243,1973,p0,27
1244,1974,p0,1
1245,1974,p0,2
1246,1974,p0,3
1247,1974,p0,4
1248,1974,p0,5
1249,1974,p0,6
1250,1974,p0,7
1251,1974,p0,8
1252,1974,p0,9
1253,1974,p0,10
1254,1974,p0,11
1255,1974,p0,12
1256,1974,p0,13
1257,1974,p0,14
1258,1974,p0,15
1259,1974,p0,16
1260,1974,p0,17
1261,1974,p0,18
1262,1974,p0,19
1263,1974,p0,20
1264,1974,p0,21
1265,1974,p0,22
1266,1974,p0,23
1267,1974,p0,24
1268,1974,p0,25
1269,1974,p0,26
1270,1974,p0,27
1271,1975,p0,1
1272,1975,p0,2
1273,1975,p0,3
1274,1975,p0,4
1275,1975,p0,5
1276,1975,p0,6
1277,1975,p0,7
1278,1975,p0,8
1279,1975,p0,9
1280,1975,p0,10
1281,1975,p0,11
1282,1975,p0,12
1283,1975,p0,13
1284,1975,p0,14
1285,1975,p0,15
1286,1975,p0,16
1287,1975,p0,17
1288,1975,p0,18
1289,1975,p0,19
1290,1975,p0,20
1291,1975,p0,21
1292,1975,p0,22
1293,1975,p0,23
1294,1975,p0,24
1295,1975,p0,25
1296,1976,p0,1
1297,1976,p0,2
1298,1976,p0,3
1299,1976,p0,4
1300,1976,p0,5
1301,1976,p0,6
1302,1976,p0,7
1303,1976,p0,8
1304,1976,p0,9
1305,1976,p0,10
1306,1976,p0,11
1307,1976,p0,12
1308,1976,p0,13
1309,1976,p0,14
1310,1976,p0,15
1311,1976,p0,16
1312,1976,p0,17
1313,1976,p0,18
1314,1976,p0,19
1315,1976,p0,20
1316,1976,p0,21
1317,1976,p0,22
1318,1976,p0,23
1319,1976,p0,24
1320,1976,p0,25
1321,1976,p0,26
1322,1976,p0,27
1323,1977,p0,1
1324,1977,p1,2
1325,1977,p0,3
1326,1977,p4,4
1327,1977,p4,5
1328,1977,p0,6
1329,1977,p0,7
1330,1977,p0,8
1331,1977,p0,9
1332,1977,p0,10
1333,1977,p0,11
1334,1977,p0,12
1335,1977,p0,13
1336,1977,p0,14
1337,1977,p0,15
1338,1977,p0,16
1339,1977,p0,17
1340,1977,p0,18
1341,1977,p0,19
1342,1977,p5,20
1343,1977,p0,21
1344,1977,p5,22
1345,1977,p0,23
1346,1977,p0,24
1347,1977,p0,25
1348,1977,p0,26
1349,1977,p0,27
1350,1977,p0,28
1351,1978,p0,1
1352,1978,p0,2
1353,1978,p0,3
1354,1978,p0,4
1355,1978,p0,5
1356,1978,p0,6
1357,1978,p0,7
1358,1978,p0,8
